doc_id,word,pos_tag,event,argument,coordinate,admin_level
0,Kerabat,NNP,O,O,,
0,Layat,NNP,O,O,,
0,Jasad,NNP,O,O,,
0,Jerry,NNP,O,O,,
0,Wong,NNP,O,O,,
0,Pengemudi,NNP,O,O,,
0,Mini,NNP,B-ARG,Vehicle-Arg,,
0,Cooper,NNP,I-ARG,Vehicle-Arg,,
0,di,IN,O,O,,
0,RSCM,NN,B-ORG,Hospital-Arg,,
0,-,-,O,O,,
0,-,NNP,O,O,,
0,Jakarta,NNP,B-PLOC,Published-Arg,"(-6.197602429787846, 106.83139222722116)",1
0,-,-,O,O,,
0,Jenazah,NNP,O,O,,
0,Jerry,NNP,O,O,,
0,Wong,NNP,O,O,,
0,",",",",O,O,,
0,pengemudi,NN,O,O,,
0,Mini,NNP,B-ARG,Vehicle-Arg,,
0,Cooper,NNP,I-ARG,Vehicle-Arg,,
0,yang,SC,O,O,,
0,menabrak,VBT,B-EVE,ACCIDENT-EVENT,,
0,bagian,O,O,,,
0,belakang,NN,O,O,,
0,truk,NN,B-ARG,Vehicle-Arg,,
0,",",",",O,O,,
0,kini,RB,O,O,,
0,berada,VBI,O,O,,
0,di,IN,O,O,,
0,RSCM,NNP,B-ORG,Hospital-Arg,,
0,Sekitar,CDI,O,O,,
0,15,CDP,O,O,,
0,kerabat,NN,O,O,,
0,dan,CC,O,O,,
0,teman,NN,O,O,,
0,datang,VBI,O,O,,
0,melayat,VBT,O,O,,
0,Pantauan,IN,O,O,,
0,detikcom,NN,B-ORG,Reporter-Arg,,
0,di,IN,O,O,,
0,kamar,NN,O,O,,
0,jenazah,NN,O,O,,
0,RSCM,NNP,B-ORG,Hospital-Arg,,
0,",",",",O,O,,
0,Jalan,NN,B-ARG,Street-Arg,,
0,Salemba,NNP,I-ARG,Street-Arg,,
0,",",",",O,O,,
0,Jakarta,NNP,B-PLOC,Place-Arg,"(-6.1780125136691195, 106.83773321392438)",2
0,Pusat,NNP,I-PLOC,Place-Arg,,
0,",",",",O,O,,
0,Jumat,NNP,B-ARG,Time-Arg,,
0,(,OP,O,O,,
0,16,5,2014,DD,B-ARG,Time-Arg
0,),CP,O,O,,
0,",",",",O,O,,
0,jasad,NN,O,O,,
0,Jerry,NNP,O,O,,
0,ditutup,VB,O,O,,
